iter	Passed	Remaining
0	82	82290
1	106	53312
2	137	45835
3	157	39328
4	180	35899
5	206	34192
6	230	32726
7	252	31293
8	272	30028
9	292	28944
10	312	28135
11	333	27459
12	354	26890
13	373	26325
14	392	25786
15	413	25410
16	438	25349
17	459	25058
18	477	24676
19	498	24430
20	517	24107
21	536	23846
22	555	23584
23	578	23505
24	598	23344
25	619	23215
26	644	23215
27	661	22977
28	681	22832
29	700	22651
30	720	22533
31	739	22379
32	759	22243
33	776	22065
34	795	21945
35	813	21783
36	836	21762
37	863	21856
38	883	21760
39	900	21619
40	919	21510
41	938	21413
42	961	21397
43	991	21544
44	1023	21727
45	1055	21886
46	1085	22018
47	1112	22066
48	1141	22163
49	1172	22273
50	1193	22217
51	1211	22085
52	1230	21985
53	1254	21970
54	1281	22018
55	1300	21928
56	1320	21843
57	1340	21773
58	1359	21676
59	1375	21546
60	1394	21467
61	1411	21348
62	1430	21273
63	1448	21188
64	1467	21105
65	1490	21087
66	1516	21121
67	1536	21060
68	1553	20966
69	1572	20888
70	1592	20841
71	1613	20790
72	1633	20741
73	1653	20684
74	1672	20625
75	1689	20541
76	1713	20538
77	1733	20490
78	1753	20439
79	1772	20384
80	1793	20348
81	1812	20290
82	1829	20217
83	1847	20146
84	1866	20091
85	1885	20038
86	1910	20050
87	1931	20012
88	1949	19957
89	1968	19901
90	1985	19837
91	2005	19797
92	2025	19755
93	2043	19699
94	2060	19629
95	2079	19578
96	2097	19523
97	2119	19504
98	2143	19511
99	2164	19476
100	2181	19416
101	2198	19356
102	2214	19289
103	2232	19236
104	2251	19195
105	2270	19150
106	2289	19107
107	2307	19060
108	2329	19044
109	2356	19065
110	2380	19068
111	2398	19012
112	2417	18974
113	2433	18915
114	2450	18859
115	2471	18836
116	2490	18792
117	2507	18743
118	2525	18694
119	2554	18730
120	2579	18736
121	2605	18751
122	2631	18763
123	2661	18800
124	2690	18830
125	2707	18782
126	2725	18736
127	2746	18708
128	2768	18693
129	2792	18689
130	2815	18677
131	2834	18638
132	2853	18601
133	2871	18557
134	2890	18519
135	2908	18479
136	2929	18452
137	2949	18422
138	2973	18416
139	2995	18399
140	3023	18417
141	3047	18414
142	3075	18432
143	3100	18430
144	3126	18436
145	3154	18451
146	3180	18452
147	3207	18466
148	3235	18481
149	3257	18461
150	3278	18430
151	3295	18383
152	3311	18333
153	3330	18297
154	3349	18261
155	3366	18214
156	3383	18168
157	3405	18145
158	3423	18110
159	3444	18082
160	3464	18054
161	3482	18015
162	3501	17979
163	3520	17944
164	3537	17902
165	3556	17866
166	3573	17825
167	3598	17819
168	3620	17804
169	3639	17771
170	3661	17750
171	3680	17716
172	3697	17677
173	3716	17644
174	3735	17608
175	3755	17581
176	3773	17545
177	3792	17515
178	3812	17487
179	3829	17446
180	3847	17408
181	3864	17371
182	3884	17341
183	3916	17368
184	3941	17365
185	3973	17390
186	4012	17442
187	4048	17485
188	4077	17496
189	4106	17504
190	4139	17531
191	4172	17560
192	4199	17558
193	4230	17576
194	4260	17587
195	4292	17608
196	4326	17634
197	4346	17604
198	4364	17568
199	4383	17532
200	4403	17502
201	4423	17473
202	4439	17431
203	4460	17406
204	4486	17398
205	4508	17375
206	4526	17341
207	4546	17310
208	4565	17277
209	4585	17251
210	4606	17225
211	4625	17192
212	4643	17156
213	4666	17140
214	4694	17141
215	4719	17130
216	4746	17127
217	4772	17118
218	4800	17120
219	4828	17119
220	4850	17097
221	4879	17099
222	4902	17080
223	4928	17073
224	4946	17036
225	4963	16998
226	4979	16957
227	4997	16921
228	5012	16876
229	5030	16839
230	5046	16799
231	5064	16765
232	5082	16731
233	5105	16714
234	5127	16692
235	5150	16673
236	5176	16666
237	5200	16651
238	5228	16647
239	5251	16628
240	5280	16630
241	5308	16628
242	5328	16600
243	5346	16565
244	5365	16535
245	5383	16502
246	5403	16473
247	5421	16438
248	5441	16410
249	5457	16371
250	5475	16338
251	5497	16317
252	5517	16290
253	5542	16278
254	5559	16243
255	5578	16211
256	5596	16179
257	5614	16146
258	5636	16124
259	5653	16091
260	5673	16064
261	5693	16038
262	5716	16018
263	5738	15999
264	5759	15975
265	5778	15944
266	5797	15916
267	5817	15888
268	5835	15857
269	5853	15827
270	5871	15795
271	5887	15758
272	5905	15725
273	5921	15688
274	5938	15656
275	5960	15636
276	5980	15609
277	6000	15584
278	6016	15547
279	6034	15518
280	6052	15486
281	6072	15461
282	6090	15430
283	6108	15401
284	6125	15367
285	6145	15341
286	6171	15331
287	6187	15297
288	6205	15267
289	6226	15245
290	6251	15231
291	6268	15200
292	6286	15169
293	6305	15141
294	6322	15110
295	6340	15079
296	6363	15062
297	6381	15033
298	6399	15003
299	6416	14970
300	6433	14941
301	6450	14909
302	6470	14884
303	6490	14860
304	6508	14830
305	6524	14797
306	6540	14764
307	6562	14744
308	6581	14718
309	6607	14706
310	6631	14690
311	6657	14680
312	6683	14668
313	6705	14649
314	6732	14639
315	6756	14624
316	6783	14615
317	6813	14613
318	6836	14595
319	6862	14582
320	6885	14564
321	6912	14555
322	6935	14536
323	6958	14518
324	6984	14505
325	7012	14497
326	7036	14482
327	7062	14469
328	7086	14453
329	7106	14428
330	7135	14422
331	7164	14416
332	7184	14390
333	7214	14385
334	7236	14365
335	7255	14337
336	7273	14309
337	7293	14285
338	7312	14258
339	7327	14224
340	7345	14194
341	7362	14165
342	7383	14142
343	7407	14125
344	7422	14091
345	7440	14063
346	7458	14035
347	7475	14006
348	7492	13976
349	7511	13950
350	7527	13919
351	7543	13887
352	7561	13859
353	7581	13835
354	7600	13809
355	7629	13801
356	7650	13779
357	7669	13753
358	7687	13726
359	7704	13696
360	7722	13670
361	7740	13642
362	7757	13613
363	7775	13585
364	7792	13557
365	7808	13526
366	7826	13499
367	7850	13482
368	7873	13464
369	7891	13436
370	7907	13406
371	7923	13376
372	7938	13343
373	7954	13314
374	7973	13288
375	7990	13260
376	8005	13229
377	8023	13202
378	8042	13177
379	8061	13153
380	8080	13128
381	8104	13111
382	8120	13082
383	8138	13055
384	8156	13028
385	8175	13004
386	8192	12976
387	8212	12953
388	8229	12926
389	8249	12903
390	8270	12881
391	8298	12871
392	8316	12844
393	8333	12817
394	8351	12792
395	8369	12765
396	8386	12738
397	8403	12710
398	8420	12683
399	8440	12661
400	8458	12634
401	8478	12612
402	8503	12596
403	8522	12573
404	8539	12545
405	8558	12521
406	8576	12495
407	8595	12471
408	8610	12442
409	8626	12413
410	8643	12387
411	8661	12361
412	8682	12340
413	8705	12321
414	8726	12301
415	8744	12276
416	8762	12250
417	8778	12223
418	8795	12195
419	8813	12170
420	8830	12145
421	8846	12116
422	8866	12094
423	8888	12074
424	8909	12054
425	8932	12036
426	8952	12013
427	8971	11990
428	8991	11967
429	9008	11940
430	9027	11917
431	9045	11892
432	9063	11868
433	9082	11844
434	9106	11827
435	9131	11812
436	9149	11787
437	9165	11760
438	9183	11735
439	9200	11709
440	9220	11688
441	9238	11662
442	9254	11635
443	9271	11610
444	9287	11582
445	9303	11556
446	9330	11543
447	9351	11522
448	9368	11497
449	9387	11473
450	9402	11445
451	9423	11425
452	9441	11400
453	9459	11376
454	9476	11351
455	9498	11331
456	9515	11305
457	9532	11281
458	9554	11261
459	9580	11246
460	9600	11225
461	9620	11202
462	9650	11192
463	9670	11170
464	9687	11146
465	9704	11120
466	9722	11096
467	9745	11078
468	9766	11057
469	9784	11033
470	9800	11007
471	9821	10986
472	9838	10962
473	9856	10938
474	9874	10913
475	9892	10889
476	9907	10863
477	9926	10839
478	9944	10816
479	9970	10801
480	9990	10780
481	10020	10768
482	10039	10746
483	10055	10720
484	10073	10696
485	10091	10673
486	10108	10648
487	10126	10624
488	10144	10600
489	10161	10576
490	10182	10555
491	10207	10539
492	10228	10518
493	10246	10495
494	10267	10474
495	10283	10449
496	10301	10425
497	10319	10402
498	10338	10379
499	10356	10356
500	10374	10333
501	10394	10311
502	10418	10294
503	10440	10274
504	10458	10250
505	10476	10228
506	10493	10203
507	10513	10182
508	10532	10160
509	10550	10137
510	10568	10113
511	10591	10095
512	10616	10078
513	10645	10065
514	10668	10047
515	10701	10037
516	10729	10024
517	10751	10004
518	10775	9986
519	10802	9971
520	10831	9958
521	10854	9939
522	10878	9921
523	10894	9896
524	10913	9873
525	10931	9850
526	10949	9827
527	10969	9805
528	10989	9784
529	11009	9763
530	11028	9740
531	11049	9720
532	11072	9701
533	11089	9677
534	11108	9654
535	11125	9630
536	11142	9607
537	11162	9585
538	11181	9563
539	11197	9538
540	11216	9516
541	11236	9494
542	11256	9473
543	11277	9453
544	11298	9433
545	11317	9410
546	11337	9388
547	11355	9366
548	11375	9344
549	11392	9321
550	11408	9296
551	11429	9276
552	11450	9255
553	11470	9234
554	11486	9210
555	11503	9186
556	11523	9165
557	11542	9143
